Amount;Random;EdgeAL;CEAL;ENT;CONF;CORESET;MAXRPR;MAR.;MCDR;RMCDR;P100;P99
0;0.679665207862854;0.6917152404785156;0.688573956489563;0.6781431436538696;0.6825740337371826;0.6820971965789795;0.687615156173706;0.6870095729827881;0.6877032518386841;0.691964328289032;0.8376479672905582;.831
2;0.7106099128723145;0.8303682208061218;0.7723041772842407;0.7458922266960144;0.7602092027664185;0.7784987688064575;0.7727451920509338;0.7351617217063904;0.7547926902770996;0.7100421786308289;0.8376479672905582;.831
5;0.7842921614646912;0.8516902327537537;0.7697099447250366;0.7233057618141174;0.7130547165870667;0.8131604790687561;0.7968024015426636;0.7195553183555603;0.7912960052490234;0.7929015159606934;0.8376479672905582;.831
7;0.8071645498275757;0.8388403654098511;0.727013885974884;0.7187578082084656;0.7136435508728027;0.778207004070282;0.7851555943489075;0.7800344228744507;0.7793039679527283;0.8147433400154114;0.8376479672905582;.831
10;0.8070430159568787;0.8361105918884277;0.701874852180481;0.7218760848045349;0.745265781879425;0.7794064283370972;0.8015046715736389;0.7386515140533447;0.7773219347000122;0.8364216089248657;0.8376479672905582;.831
12;0.821822464466095;0.8402932286262512;0.7277750372886658;0.7241040468215942;0.732705295085907;0.8205863833427429;0.7978184819221497;0.7587335705757141;0.7798103094100952;0.8112887144088745;0.8376479672905582;.831
15;0.8221818804740906;0.8466885685920715;0.7564337253570557;0.7574014663696289;0.7482098340988159;0.8194490075111389;0.7996689081192017;0.7429826855659485;0.8198902010917664;0.8218788504600525;0.8376479672905582;.831
17;0.8115656971931458;0.8393913507461548;0.7570448517799377;0.779717743396759;0.7354163527488708;0.7980637550354004;0.8239513039588928;0.7183067798614502;0.8113605976104736;0.8258491158485413;0.8376479672905582;.831
20;0.8167347311973572;0.8313977122306824;0.7796387672424316;0.7490315437316895;0.7857390642166138;0.8193721771240234;0.8206120133399963;0.745816171169281;0.8284696936607361;0.8118021488189697;0.8376479672905582;.831
22;0.812174916267395;0.8245822787284851;0.7402850389480591;0.7718005776405334;0.7686582803726196;0.8239250183105469;0.8274537324905396;0.738982617855072;0.8262508511543274;0.8171863555908203;0.8376479672905582;.831
25;0.8304961323738098;0.8274040818214417;0.7365189790725708;0.7713791131973267;0.7788029909133911;0.80207759141922;0.826367199420929;0.7449755668640137;0.8311440944671631;0.8120818734169006;0.8376479672905582;.831
27;0.8300161361694336;0.8448840379714966;0.7557302713394165;0.7628908753395081;0.7687271237373352;0.8188788294792175;0.8070774078369141;0.7374669313430786;0.822335958480835;0.8056825399398804;0.8376479672905582;.831
30;0.8181163668632507;0.838763952255249;0.7172975540161133;0.7587183713912964;0.7394192814826965;0.822684645652771;0.8191561102867126;0.7233577370643616;0.7841147780418396;0.8322928547859192;0.8376479672905582;.831
32;0.8265261054039001;0.8301367163658142;0.7697453498840332;0.779464066028595;0.7931634783744812;0.8055132031440735;0.8134936094284058;0.7611984610557556;0.8018307089805603;0.8377586603164673;0.8376479672905582;.831
35;0.830151379108429;0.8344435691833496;0.7370349168777466;0.7794386148452759;0.7333297729492188;0.8289828896522522;0.8025127053260803;0.7569814324378967;0.8173028230667114;0.8179001212120056;0.8376479672905582;.831
37;0.8223963975906372;0.8366891741752625;0.7469425797462463;0.7825891375541687;0.7671703100204468;0.8279538750648499;0.83170086145401;0.769070029258728;0.8195487856864929;0.839868426322937;0.8376479672905582;.831
40;0.791122317314148;0.8417688012123108;0.7344786524772644;0.7705960869789124;0.7593228816986084;0.816386342048645;0.843904972076416;0.771201491355896;0.803384006023407;0.8120731115341187;0.8376479672905582;.831
42;0.837715208530426;0.8252065777778625;0.7603219151496887;0.7498810291290283;0.7718011140823364;0.8311223387718201;0.8355227708816528;0.7656669616699219;0.8166636824607849;0.8344175815582275;0.8376479672905582;.831
45;0.8389375805854797;0.8404099941253662;0.7923034429550171;0.7721579074859619;0.7300968170166016;0.8173592686653137;0.8246886730194092;0.7439255714416504;0.7923399806022644;0.8416792750358582;0.8376479672905582;.831
47;0.8184823989868164;0.8295292258262634;0.7812054753303528;0.7262852191925049;0.775550365447998;0.8331052660942078;0.8206833600997925;0.7817299365997314;0.8297358155250549;0.8435835838317871;0.8376479672905582;.831
50;0.8233653903007507;0.8552699685096741;0.7532666921615601;0.7426363229751587;0.7672774791717529;0.8338868021965027;0.8291288018226624;0.7646198272705078;0.8381157517433167;0.807075560092926;0.8376479672905582;.831
52;0.825805127620697;0.8115437030792236;0.7687515020370483;0.7878843545913696;0.8011557459831238;0.8286862373352051;0.8290578722953796;0.7873147130012512;0.8246243000030518;0.8319813013076782;0.8376479672905582;.831
55;0.8215534687042236;0.8283292651176453;0.7632567882537842;0.7985454201698303;0.785451352596283;0.8256908059120178;0.8378909230232239;0.7712282538414001;0.8327470421791077;0.8435114622116089;0.8376479672905582;.831
57;0.8064550757408142;0.8477023243904114;0.7829498052597046;0.799124538898468;0.8106685280799866;0.8314661979675293;0.7953571081161499;0.7774360179901123;0.8240059018135071;0.8361894488334656;0.8376479672905582;.831
60;0.7958770394325256;0.8388906121253967;0.7948628067970276;0.8089353442192078;0.8270090818405151;0.820690393447876;0.8142668008804321;0.8109844326972961;0.8353899121284485;0.8326137065887451;0.8376479672905582;.831
62;0.826573371887207;0.8452745079994202;0.8070197105407715;0.8112571835517883;0.7991480827331543;0.8286402821540833;0.8162456154823303;0.8004606366157532;0.8081067204475403;0.84192955493927;0.8376479672905582;.831
65;0.8345380425453186;0.8292725682258606;0.798012375831604;0.8026944398880005;0.8196012377738953;0.8229186534881592;0.8258516788482666;0.8302174806594849;0.8248942494392395;0.8181706070899963;0.8376479672905582;.831
67;0.831913411617279;0.8243377208709717;0.8041717410087585;0.7996046543121338;0.8090497851371765;0.8244016170501709;0.7781844139099121;0.8056729435920715;0.820837676525116;0.8375841975212097;0.8376479672905582;.831
70;0.8349977731704712;0.8389523029327393;0.8182175159454346;0.797532856464386;0.7920915484428406;0.8221303224563599;0.8375589847564697;0.7758907675743103;0.8185232281684875;0.8358992338180542;0.8376479672905582;.831
72;0.8243669867515564;0.851772129535675;0.8428892493247986;0.8304866552352905;0.8026177883148193;0.8353508710861206;0.8371700048446655;0.8165333271026611;0.8048952221870422;0.8471941351890564;0.8376479672905582;.831
75;0.8167726397514343;0.8162620067596436;0.8204367756843567;0.8004595637321472;0.8077101707458496;0.8457106947898865;0.8354930281639099;0.7961695790290833;0.8585726618766785;0.8326384425163269;0.8376479672905582;.831
77;0.8017390966415405;0.8454776406288147;0.8265190720558167;0.8083716630935669;0.8229982256889343;0.8390704393386841;0.8241943120956421;0.8164674639701843;0.8366760611534119;0.8438987135887146;0.8376479672905582;.831
80;0.846796452999115;0.8277311325073242;0.8260112404823303;0.8031242489814758;0.8123359084129333;0.8232367634773254;0.8077080845832825;0.802335262298584;0.8335379958152771;0.8375368714332581;0.8376479672905582;.831
82;0.858066201210022;0.8408311009407043;0.8202897310256958;0.8270795941352844;0.8356460332870483;0.8230316638946533;0.8494654297828674;0.8295222520828247;0.8312715291976929;0.80885910987854;0.8376479672905582;.831
85;0.8334864974021912;0.8238404393196106;0.8224688172340393;0.8024623394012451;0.8214020729064941;0.8428054451942444;0.8109445571899414;0.8212869167327881;0.8333403468132019;0.8359969854354858;0.8376479672905582;.831
87;0.8379408717155457;0.826443076133728;0.81773442029953;0.8336528539657593;0.819646418094635;0.8249448537826538;0.8423600792884827;0.8319798111915588;0.8336666226387024;0.8263373374938965;0.8376479672905582;.831
90;0.8009986877441406;0.8602864146232605;0.8161017894744873;0.8342357277870178;0.8151788711547852;0.8424773812294006;0.823050856590271;0.839259922504425;0.8233828544616699;0.8420842885971069;0.8376479672905582;.831
92;0.8318107724189758;0.8383949398994446;0.8226315379142761;0.8213952779769897;0.8391181826591492;0.8353360295295715;0.8395846486091614;0.8427684903144836;0.8582874536514282;0.8282562494277954;0.8376479672905582;.831
95;0.8227015733718872;0.8373310565948486;0.8375148177146912;0.8207035064697266;0.8355647325515747;0.8543161153793335;0.850702702999115;0.849560558795929;0.842872679233551;0.8408944010734558;0.8376479672905582;.831
97;0.837378203868866;0.8266878724098206;0.8453026413917542;0.8328559398651123;0.8201278448104858;0.8415003418922424;0.841702702999115;0.8360588550567627;0.8417827486991882;0.8258205056190491;0.8376479672905582;.831