Amount;MCDR;MAR.;EdgeAL;ENT;CONF;MAXRPR;Random;RMCDR;P100;P99;CORESET;CEAL
1;0.679943859577179;0.679943859577179;0.6719431281089783;0.679943859577179;0.6799343228340149;0.679943859577179;0.679943859577179;0.679943859577179;0.9030920653343201;0.89406;0.679943859577179;0.679943859577179
3;0.6799507737159729;0.7137218117713928;0.9237520694732666;0.7740584015846252;0.8045322895050049;0.6799396872520447;0.679943859577179;0.6638862490653992;0.9030920653343201;0.89406;0.6759445667266846;0.8201872706413269
4;0.6639339923858643;0.8838370442390442;0.9189314246177673;0.8656972646713257;0.8709012269973755;0.7072620987892151;0.8236768841743469;0.7954268455505371;0.9030920653343201;0.89406;0.7435716986656189;0.8520820736885071
6;0.679943859577179;0.8312970399856567;0.9078419804573059;0.8488650918006897;0.8448032736778259;0.7843305468559265;0.6638982892036438;0.6682652831077576;0.9030920653343201;0.89406;0.7548961639404297;0.8486751914024353
7;0.679943859577179;0.8541168570518494;0.9149793386459351;0.8670361042022705;0.840854823589325;0.8088070750236511;0.6436978578567505;0.8418833017349243;0.9030920653343201;0.89406;0.7274107336997986;0.9023627042770386
9;0.8364605903625488;0.8726988434791565;0.9255375266075134;0.8641049861907959;0.8861778974533081;0.7967386245727539;0.7235906720161438;0.8623260259628296;0.9030920653343201;0.89406;0.845797598361969;0.8620352149009705
10;0.8358388543128967;0.8429956436157227;0.9154255986213684;0.8948217630386353;0.8335762619972229;0.8318014144897461;0.8408201336860657;0.8467209935188293;0.9030920653343201;0.89406;0.8130425214767456;0.8869764804840088
12;0.8422074317932129;0.842673122882843;0.9232650399208069;0.895449697971344;0.8673062324523926;0.8422576785087585;0.8282974362373352;0.6644565463066101;0.9030920653343201;0.89406;0.8525190353393555;0.8275105357170105
13;0.8535264134407043;0.8772850632667542;0.8986455202102661;0.8757283687591553;0.8878413438796997;0.8565133213996887;0.8127952814102173;0.679943323135376;0.9030920653343201;0.89406;0.7871817350387573;0.8632844686508179
15;0.8543812036514282;0.9084617495536804;0.9273806214332581;0.8912551403045654;0.8800967335700989;0.8943815231323242;0.8297132253646851;0.823266863822937;0.9030920653343201;0.89406;0.8227640986442566;0.8830215334892273
16;0.8756651878356934;0.8214614987373352;0.9286298155784607;0.8424612879753113;0.8239914774894714;0.9077375531196594;0.8245508670806885;0.8267289996147156;0.9030920653343201;0.89406;0.8764427900314331;0.8900505304336548
18;0.8931586742401123;0.8847388029098511;0.8783831596374512;0.8745431900024414;0.8578572869300842;0.8995059132575989;0.8107056021690369;0.8833022713661194;0.9030920653343201;0.89406;0.8635523319244385;0.8891903162002563
19;0.8953771591186523;0.8420057892799377;0.8589333295822144;0.8746758699417114;0.8970940113067627;0.9110987186431885;0.8766286373138428;0.9065455198287964;0.9030920653343201;0.89406;0.8725197911262512;0.8563469648361206
21;0.9004060626029968;0.8869889974594116;0.9204796552658081;0.9138787388801575;0.895814836025238;0.9084904193878174;0.6862800717353821;0.8738369345664978;0.9030920653343201;0.89406;0.8650233149528503;0.8450559973716736
22;0.9035694599151611;0.9095214009284973;0.8987477421760559;0.8774384260177612;0.9084472060203552;0.9107854962348938;0.8905699253082275;0.797693133354187;0.9030920653343201;0.89406;0.863763153553009;0.8714001178741455
24;0.885016918182373;0.9190061688423157;0.9181742072105408;0.8883145451545715;0.9076321125030518;0.8982109427452087;0.8906176090240479;0.8496245741844177;0.9030920653343201;0.89406;0.881824254989624;0.8979465365409851